['234', '124', '12', '295', '480', '8', '153', '331', '203', '200', '294', '0', '301', '79', '449', '259', '412', '352', '228', '313', '223', '214', '494', '215', '155', '417', '402', '165', '205', '364', '34', '94', '87', '342', '39', '197', '336', '222', '355', '378', '137', '49', '236', '353', '285', '458', '178', '345', '207', '346']
['438', '98', '30', '93', '436', '125', '166', '195', '325', '315', '168', '359', '233', '126', '306', '13', '252', '279', '199', '196', '377', '127', '287', '260', '65', '486', '14', '451', '109', '330', '25', '383', '242', '241', '338', '317', '115', '467', '421', '472', '164', '386', '106', '151', '395', '169', '69', '224', '422', '397']
['462', '22', '435', '152', '478', '82', '4', '371', '60', '286', '300', '411', '474', '341', '170', '171', '261', '112', '374', '415', '394', '133', '114', '289', '40', '278', '209', '376', '407', '431', '496', '220', '198', '174', '27', '204', '334', '159', '140', '255', '464', '139', '231', '470', '311', '314', '426', '237', '135', '41']
['432', '54', '62', '1', '490', '275', '369', '366', '88', '495', '193', '194', '83', '265', '282', '183', '460', '493', '329', '225', '78', '57', '70', '201', '272', '320', '419', '81', '430', '469', '400', '96', '47', '3', '99', '304', '408', '322', '318', '163', '370', '443', '348', '144', '312', '404', '349', '145', '21', '9']
['288', '6', '158', '283', '271', '491', '483', '245', '235', '108', '56', '424', '268', '226', '401', '305', '420', '439', '354', '448', '380', '76', '332', '277', '130', '189', '291', '105', '498', '468', '321', '123', '72', '406', '403', '71', '243', '485', '67', '73', '340', '95', '428', '405', '141', '339', '55', '429', '398', '111']
['444', '337', '162', '35', '2', '239', '253', '28', '148', '91', '258', '389', '74', '101', '263', '150', '269', '489', '387', '46', '409', '136', '248', '97', '481', '102', '452', '172', '327', '274', '363', '326', '180', '10', '375', '441', '217', '244', '221', '333', '297', '120', '351', '187', '202', '264', '240', '324', '43', '113']
['63', '68', '381', '11', '31', '134', '38', '184', '206', '497', '77', '173', '161', '84', '175', '390', '396', '384', '160', '475', '37', '393', '343', '466', '450', '149', '433', '423', '335', '129', '392', '356', '281', '459', '176', '316', '382', '434', '24', '471', '19', '33', '413', '447', '42', '499', '488', '442', '256', '216']
['296', '75', '185', '61', '482', '414', '119', '267', '416', '157', '308', '118', '437', '254', '18', '477', '154', '26', '128', '48', '110', '456', '250', '284', '347', '425', '229', '302', '181', '86', '473', '232', '210', '427', '446', '89', '410', '227', '51', '310', '131', '455', '190', '303', '186', '156', '457', '368', '440', '29']
['357', '299', '50', '16', '418', '465', '85', '463', '58', '360', '270', '80', '66', '249', '36', '445', '365', '116', '290', '212', '328', '20', '309', '179', '147', '188', '319', '7', '59', '53', '104', '64', '103', '276', '388', '358', '257', '100', '238', '273', '362', '293', '121', '247', '182', '132', '92', '292', '492', '385']
['52', '461', '211', '298', '17', '399', '15', '251', '307', '90', '379', '479', '146', '191', '454', '453', '45', '138', '219', '372', '323', '213', '23', '487', '5', '484', '122', '361', '262', '350', '373', '44', '208', '143', '391', '218', '32', '177', '266', '230', '476', '167', '107', '344', '280', '192', '246', '367', '142', '117']
